Time[s] Voltage[V]
1.900000e-07 9.629072e-02
3.900000e-07 9.674048e-02
5.900000e-07 9.719066e-02
7.900000e-07 9.764136e-02
9.900000e-07 9.809272e-02
1.190000e-06 9.854435e-02
1.390000e-06 9.899682e-02
1.590000e-06 9.944965e-02
1.790000e-06 9.990385e-02
1.990000e-06 1.003573e-01
2.190000e-06 1.008115e-01
2.390000e-06 1.012667e-01
2.590000e-06 1.017214e-01
2.790000e-06 1.021777e-01
2.990000e-06 1.026339e-01
3.190000e-06 1.030895e-01
3.390000e-06 1.035457e-01
3.590000e-06 1.040035e-01
3.790000e-06 1.044614e-01
3.990000e-06 1.049193e-01
4.190000e-06 1.053778e-01
4.390000e-06 1.058357e-01
4.590000e-06 1.062959e-01
4.790000e-06 1.067561e-01
4.990000e-06 1.072156e-01
5.190000e-06 1.076784e-01
5.390000e-06 1.081392e-01
5.590000e-06 1.086008e-01
5.790000e-06 1.090617e-01
5.990000e-06 1.095243e-01
6.190000e-06 1.099866e-01
6.390000e-06 1.104490e-01
6.590000e-06 1.109062e-01
6.790000e-06 1.113707e-01
6.990000e-06 1.118345e-01
7.190000e-06 1.122981e-01
7.390000e-06 1.127607e-01
7.590000e-06 1.132267e-01
7.790000e-06 1.136916e-01
7.990000e-06 1.141563e-01
8.190000e-06 1.146206e-01
8.390000e-06 1.150857e-01
8.590000e-06 1.155511e-01
8.790000e-06 1.160164e-01
8.990000e-06 1.164823e-01
9.190000e-06 1.169473e-01
9.390000e-06 1.174136e-01
9.590000e-06 1.178800e-01
9.790000e-06 1.183444e-01
9.990000e-06 1.188109e-01
1.019000e-05 1.192778e-01
1.039000e-05 1.197438e-01
1.059000e-05 1.202111e-01
1.079000e-05 1.206773e-01
1.099000e-05 1.211444e-01
1.119000e-05 1.216120e-01
1.139000e-05 1.220789e-01
1.159000e-05 1.225455e-01
1.179000e-05 1.230131e-01
1.199000e-05 1.234811e-01
1.219000e-05 1.239487e-01
1.239000e-05 1.244164e-01
1.259000e-05 1.248844e-01
1.279000e-05 1.253522e-01
1.299000e-05 1.258078e-01
1.319000e-05 1.262759e-01
1.339000e-05 1.267440e-01
1.359000e-05 1.272119e-01
1.379000e-05 1.276805e-01
1.399000e-05 1.281481e-01
1.419000e-05 1.286172e-01
1.439000e-05 1.290844e-01
1.459000e-05 1.295539e-01
1.479000e-05 1.300204e-01
1.499000e-05 1.304904e-01
1.519000e-05 1.309568e-01
1.539000e-05 1.314267e-01
1.559000e-05 1.318930e-01
1.579000e-05 1.323625e-01
1.599000e-05 1.328288e-01
1.619000e-05 1.332990e-01
1.639000e-05 1.337643e-01
1.659000e-05 1.342344e-01
1.679000e-05 1.347018e-01
1.699000e-05 1.351703e-01
1.719000e-05 1.356394e-01
1.739000e-05 1.361060e-01
1.759000e-05 1.365771e-01
1.779000e-05 1.370437e-01
1.799000e-05 1.375146e-01
1.819000e-05 1.379819e-01
1.839000e-05 1.384526e-01
1.859000e-05 1.389197e-01
1.879000e-05 1.393904e-01
1.899000e-05 1.398579e-01
1.919000e-05 1.403285e-01
1.939000e-05 1.407917e-01
1.959000e-05 1.412628e-01
1.979000e-05 1.417319e-01
1.999000e-05 1.422015e-01
2.019000e-05 1.426700e-01
2.039000e-05 1.431391e-01
2.059000e-05 1.436082e-01
2.079000e-05 1.440772e-01
2.099000e-05 1.445457e-01
2.119000e-05 1.450149e-01
2.139000e-05 1.454841e-01
2.159000e-05 1.459529e-01
2.179000e-05 1.464221e-01
2.199000e-05 1.468924e-01
2.219000e-05 1.473599e-01
2.239000e-05 1.478303e-01
2.259000e-05 1.482966e-01
2.279000e-05 1.487660e-01
2.299000e-05 1.492350e-01
2.319000e-05 1.497043e-01
2.339000e-05 1.501730e-01
2.359000e-05 1.506421e-01
2.379000e-05 1.511116e-01
2.399000e-05 1.515802e-01
2.419000e-05 1.520483e-01
2.439000e-05 1.525175e-01
2.459000e-05 1.529868e-01
2.479000e-05 1.534559e-01
2.499000e-05 1.539239e-01
2.519000e-05 1.543929e-01
2.539000e-05 1.548616e-01
2.559000e-05 1.553303e-01
2.579000e-05 1.557618e-01
2.599000e-05 1.562302e-01
2.619000e-05 1.566987e-01
2.639000e-05 1.571675e-01
2.659000e-05 1.576356e-01
2.679000e-05 1.581044e-01
2.699000e-05 1.585727e-01
2.719000e-05 1.590411e-01
2.739000e-05 1.595093e-01
2.759000e-05 1.599760e-01
2.779000e-05 1.604455e-01
2.799000e-05 1.609138e-01
2.819000e-05 1.613823e-01
2.839000e-05 1.618516e-01
2.859000e-05 1.623177e-01
2.879000e-05 1.627891e-01
2.899000e-05 1.632532e-01
2.919000e-05 1.637194e-01
2.939000e-05 1.641881e-01
2.959000e-05 1.646575e-01
2.979000e-05 1.651254e-01
2.999000e-05 1.655951e-01
3.019000e-05 1.660614e-01
3.039000e-05 1.665326e-01
3.059000e-05 1.670009e-01
3.079000e-05 1.674756e-01
3.099000e-05 1.679385e-01
3.119000e-05 1.684123e-01
3.139000e-05 1.688749e-01
3.159000e-05 1.693487e-01
3.179000e-05 1.698125e-01
3.199000e-05 1.702852e-01
3.219000e-05 1.707459e-01
3.239000e-05 1.712159e-01
3.259000e-05 1.716829e-01
3.279000e-05 1.721527e-01
3.299000e-05 1.726193e-01
3.319000e-05 1.730890e-01
3.339000e-05 1.735555e-01
3.359000e-05 1.740272e-01
3.379000e-05 1.744900e-01
3.399000e-05 1.749593e-01
3.419000e-05 1.754268e-01
3.439000e-05 1.758955e-01
3.459000e-05 1.763625e-01
3.479000e-05 1.768311e-01
3.499000e-05 1.773006e-01
3.519000e-05 1.777668e-01
3.539000e-05 1.782314e-01
3.559000e-05 1.787010e-01
3.579000e-05 1.791684e-01
3.599000e-05 1.796365e-01
3.619000e-05 1.801038e-01
3.639000e-05 1.805719e-01
3.659000e-05 1.810398e-01
3.679000e-05 1.815070e-01
3.699000e-05 1.819737e-01
3.719000e-05 1.824419e-01
3.739000e-05 1.829104e-01
3.759000e-05 1.833770e-01
3.779000e-05 1.838442e-01
3.799000e-05 1.843195e-01
3.819000e-05 1.847793e-01
3.839000e-05 1.852467e-01
3.859000e-05 1.857010e-01
3.879000e-05 1.861685e-01
3.899000e-05 1.866358e-01
3.919000e-05 1.871035e-01
3.939000e-05 1.875703e-01
3.959000e-05 1.880381e-01
3.979000e-05 1.885049e-01
3.999000e-05 1.889726e-01
4.019000e-05 1.894389e-01
4.039000e-05 1.899065e-01
4.059000e-05 1.903733e-01
4.079000e-05 1.908407e-01
4.099000e-05 1.913074e-01
4.119000e-05 1.917748e-01
4.139000e-05 1.922416e-01
4.159000e-05 1.927089e-01
4.179000e-05 1.931743e-01
4.199000e-05 1.936416e-01
4.219000e-05 1.941084e-01
4.239000e-05 1.945762e-01
4.259000e-05 1.950422e-01
4.279000e-05 1.955090e-01
4.299000e-05 1.959760e-01
4.319000e-05 1.964457e-01
4.339000e-05 1.969093e-01
4.359000e-05 1.973800e-01
4.379000e-05 1.978438e-01
4.399000e-05 1.983147e-01
4.419000e-05 1.987777e-01
4.439000e-05 1.992491e-01
4.459000e-05 1.997125e-01
4.479000e-05 2.001837e-01
4.499000e-05 2.006424e-01
4.519000e-05 2.011144e-01
4.539000e-05 2.015811e-01
4.559000e-05 2.020489e-01
4.579000e-05 2.025154e-01
4.599000e-05 2.029831e-01
4.619000e-05 2.034505e-01
4.639000e-05 2.039199e-01
4.659000e-05 2.043834e-01
4.679000e-05 2.048509e-01
