Time[s] Voltage[V]
1.900000e-07 2.982079e-01
3.900000e-07 2.986742e-01
5.900000e-07 2.991388e-01
7.900000e-07 2.996034e-01
9.900000e-07 3.000679e-01
1.190000e-06 3.005325e-01
1.390000e-06 3.009971e-01
1.590000e-06 3.014616e-01
1.790000e-06 3.019259e-01
1.990000e-06 3.023905e-01
2.190000e-06 3.028551e-01
2.390000e-06 3.033197e-01
2.590000e-06 3.037842e-01
2.790000e-06 3.042488e-01
2.990000e-06 3.047133e-01
3.190000e-06 3.051779e-01
3.390000e-06 3.056415e-01
3.590000e-06 3.061061e-01
3.790000e-06 3.065707e-01
3.990000e-06 3.070353e-01
4.190000e-06 3.074998e-01
4.390000e-06 3.079644e-01
4.590000e-06 3.084289e-01
4.790000e-06 3.088935e-01
4.990000e-06 3.093578e-01
5.190000e-06 3.098224e-01
5.390000e-06 3.102870e-01
5.590000e-06 3.107516e-01
5.790000e-06 3.112161e-01
5.990000e-06 3.116807e-01
6.190000e-06 3.121452e-01
6.390000e-06 3.126098e-01
6.590000e-06 3.130713e-01
6.790000e-06 3.135358e-01
6.990000e-06 3.140004e-01
7.190000e-06 3.144650e-01
7.390000e-06 3.149295e-01
7.590000e-06 3.153941e-01
7.790000e-06 3.158587e-01
7.990000e-06 3.163233e-01
8.190000e-06 3.167876e-01
8.390000e-06 3.172522e-01
8.590000e-06 3.177167e-01
8.790000e-06 3.181813e-01
8.990000e-06 3.186459e-01
9.190000e-06 3.191104e-01
9.390000e-06 3.195750e-01
9.590000e-06 3.200396e-01
9.790000e-06 3.205032e-01
9.990000e-06 3.209678e-01
1.019000e-05 3.214324e-01
1.039000e-05 3.218969e-01
1.059000e-05 3.223615e-01
1.079000e-05 3.228260e-01
1.099000e-05 3.232906e-01
1.119000e-05 3.237552e-01
1.139000e-05 3.242195e-01
1.159000e-05 3.246841e-01
1.179000e-05 3.251487e-01
1.199000e-05 3.256133e-01
1.219000e-05 3.260778e-01
1.239000e-05 3.265424e-01
1.259000e-05 3.270069e-01
1.279000e-05 3.274715e-01
1.299000e-05 3.279258e-01
1.319000e-05 3.283904e-01
1.339000e-05 3.288549e-01
1.359000e-05 3.293195e-01
1.379000e-05 3.297840e-01
1.399000e-05 3.302486e-01
1.419000e-05 3.307132e-01
1.439000e-05 3.311778e-01
1.459000e-05 3.316421e-01
1.479000e-05 3.321067e-01
1.499000e-05 3.325713e-01
1.519000e-05 3.330359e-01
1.539000e-05 3.335004e-01
1.559000e-05 3.339650e-01
1.579000e-05 3.344296e-01
1.599000e-05 3.348942e-01
1.619000e-05 3.353577e-01
1.639000e-05 3.358224e-01
1.659000e-05 3.362869e-01
1.679000e-05 3.367515e-01
1.699000e-05 3.372160e-01
1.719000e-05 3.376807e-01
1.739000e-05 3.381452e-01
1.759000e-05 3.386098e-01
1.779000e-05 3.390741e-01
1.799000e-05 3.395387e-01
1.819000e-05 3.400033e-01
1.839000e-05 3.404679e-01
1.859000e-05 3.409324e-01
1.879000e-05 3.413970e-01
1.899000e-05 3.418616e-01
1.919000e-05 3.423261e-01
1.939000e-05 3.427876e-01
1.959000e-05 3.432522e-01
1.979000e-05 3.437168e-01
1.999000e-05 3.441814e-01
2.019000e-05 3.446459e-01
2.039000e-05 3.451105e-01
2.059000e-05 3.455750e-01
2.079000e-05 3.460396e-01
2.099000e-05 3.465039e-01
2.119000e-05 3.469685e-01
2.139000e-05 3.474331e-01
2.159000e-05 3.478977e-01
2.179000e-05 3.483622e-01
2.199000e-05 3.488268e-01
2.219000e-05 3.492914e-01
2.239000e-05 3.497560e-01
2.259000e-05 3.502196e-01
2.279000e-05 3.506842e-01
2.299000e-05 3.511487e-01
2.319000e-05 3.516134e-01
2.339000e-05 3.520779e-01
2.359000e-05 3.525425e-01
2.379000e-05 3.530071e-01
2.399000e-05 3.534717e-01
2.419000e-05 3.539360e-01
2.439000e-05 3.544006e-01
2.459000e-05 3.548651e-01
2.479000e-05 3.553297e-01
2.499000e-05 3.557943e-01
2.519000e-05 3.562589e-01
2.539000e-05 3.567234e-01
2.559000e-05 3.571881e-01
2.579000e-05 3.576215e-01
2.599000e-05 3.580860e-01
2.619000e-05 3.585506e-01
2.639000e-05 3.590153e-01
2.659000e-05 3.594798e-01
2.679000e-05 3.599443e-01
2.699000e-05 3.604090e-01
2.719000e-05 3.608735e-01
2.739000e-05 3.613377e-01
2.759000e-05 3.618024e-01
2.779000e-05 3.622670e-01
2.799000e-05 3.627315e-01
2.819000e-05 3.631961e-01
2.839000e-05 3.636607e-01
2.859000e-05 3.641253e-01
2.879000e-05 3.645899e-01
2.899000e-05 3.650534e-01
2.919000e-05 3.655181e-01
2.939000e-05 3.659827e-01
2.959000e-05 3.664473e-01
2.979000e-05 3.669118e-01
2.999000e-05 3.673764e-01
3.019000e-05 3.678410e-01
3.039000e-05 3.683056e-01
3.059000e-05 3.687698e-01
3.079000e-05 3.692344e-01
3.099000e-05 3.696990e-01
3.119000e-05 3.701636e-01
3.139000e-05 3.706281e-01
3.159000e-05 3.710927e-01
3.179000e-05 3.715573e-01
3.199000e-05 3.720219e-01
3.219000e-05 3.724833e-01
3.239000e-05 3.729479e-01
3.259000e-05 3.734125e-01
3.279000e-05 3.738771e-01
3.299000e-05 3.743416e-01
3.319000e-05 3.748062e-01
3.339000e-05 3.752708e-01
3.359000e-05 3.757354e-01
3.379000e-05 3.761997e-01
3.399000e-05 3.766643e-01
3.419000e-05 3.771289e-01
3.439000e-05 3.775935e-01
3.459000e-05 3.780581e-01
3.479000e-05 3.785227e-01
3.499000e-05 3.789873e-01
3.519000e-05 3.794519e-01
3.539000e-05 3.799154e-01
3.559000e-05 3.803800e-01
3.579000e-05 3.808446e-01
3.599000e-05 3.813092e-01
3.619000e-05 3.817738e-01
3.639000e-05 3.822384e-01
3.659000e-05 3.827030e-01
3.679000e-05 3.831676e-01
3.699000e-05 3.836319e-01
3.719000e-05 3.840965e-01
3.739000e-05 3.845611e-01
3.759000e-05 3.850257e-01
3.779000e-05 3.854902e-01
3.799000e-05 3.859548e-01
3.819000e-05 3.864194e-01
3.839000e-05 3.868840e-01
3.859000e-05 3.873381e-01
3.879000e-05 3.878027e-01
3.899000e-05 3.882674e-01
3.919000e-05 3.887319e-01
3.939000e-05 3.891965e-01
3.959000e-05 3.896611e-01
3.979000e-05 3.901257e-01
3.999000e-05 3.905902e-01
4.019000e-05 3.910546e-01
4.039000e-05 3.915192e-01
4.059000e-05 3.919838e-01
4.079000e-05 3.924484e-01
4.099000e-05 3.929129e-01
4.119000e-05 3.933775e-01
4.139000e-05 3.938421e-01
4.159000e-05 3.943067e-01
4.179000e-05 3.947703e-01
4.199000e-05 3.952349e-01
4.219000e-05 3.956995e-01
4.239000e-05 3.961641e-01
4.259000e-05 3.966286e-01
4.279000e-05 3.970932e-01
4.299000e-05 3.975578e-01
4.319000e-05 3.980224e-01
4.339000e-05 3.984867e-01
4.359000e-05 3.989513e-01
4.379000e-05 3.994158e-01
4.399000e-05 3.998805e-01
4.419000e-05 4.003450e-01
4.439000e-05 4.008095e-01
4.459000e-05 4.012742e-01
4.479000e-05 4.017387e-01
4.499000e-05 4.022002e-01
4.519000e-05 4.026649e-01
4.539000e-05 4.031295e-01
4.559000e-05 4.035941e-01
4.579000e-05 4.040586e-01
4.599000e-05 4.045232e-01
4.619000e-05 4.049878e-01
4.639000e-05 4.054524e-01
4.659000e-05 4.059167e-01
4.679000e-05 4.063813e-01
4.699000e-05 4.068458e-01
4.719000e-05 4.073104e-01
4.739000e-05 4.077750e-01
4.759000e-05 4.082396e-01
4.779000e-05 4.087042e-01
4.799000e-05 4.091688e-01
4.819000e-05 4.096325e-01
4.839000e-05 4.100970e-01
4.859000e-05 4.105617e-01
4.879000e-05 4.110262e-01
4.899000e-05 4.114908e-01
4.919000e-05 4.119553e-01
4.939000e-05 4.124200e-01
4.959000e-05 4.128845e-01
4.979000e-05 4.133489e-01
4.999000e-05 4.138134e-01
5.019000e-05 4.142781e-01
5.039000e-05 4.147427e-01
5.059000e-05 4.152072e-01
5.079000e-05 4.156718e-01
5.099000e-05 4.161364e-01
5.119000e-05 4.166010e-01
5.139000e-05 4.169823e-01
5.159000e-05 4.174469e-01
5.179000e-05 4.179114e-01
5.199000e-05 4.183761e-01
5.219000e-05 4.188406e-01
5.239000e-05 4.193051e-01
5.259000e-05 4.197697e-01
5.279000e-05 4.202343e-01
5.299000e-05 4.206986e-01
5.319000e-05 4.211630e-01
5.339000e-05 4.216277e-01
5.359000e-05 4.220921e-01
5.379000e-05 4.225568e-01
5.399000e-05 4.230212e-01
5.419000e-05 4.234859e-01
5.439000e-05 4.239506e-01
5.459000e-05 4.244141e-01
5.479000e-05 4.248789e-01
5.499000e-05 4.253434e-01
5.519000e-05 4.258080e-01
5.539000e-05 4.262725e-01
5.559000e-05 4.267371e-01
5.579000e-05 4.272017e-01
5.599000e-05 4.276663e-01
5.619000e-05 4.281307e-01
5.639000e-05 4.285952e-01
5.659000e-05 4.290597e-01
5.679000e-05 4.295244e-01
5.699000e-05 4.299889e-01
5.719000e-05 4.304535e-01
5.739000e-05 4.309181e-01
5.759000e-05 4.313827e-01
5.779000e-05 4.318441e-01
5.799000e-05 4.323087e-01
5.819000e-05 4.327732e-01
5.839000e-05 4.332379e-01
5.859000e-05 4.337025e-01
5.879000e-05 4.341670e-01
5.899000e-05 4.346316e-01
5.919000e-05 4.350962e-01
5.939000e-05 4.355605e-01
5.959000e-05 4.360251e-01
5.979000e-05 4.364897e-01
5.999000e-05 4.369543e-01
6.019000e-05 4.374186e-01
6.039000e-05 4.378832e-01
6.059000e-05 4.383481e-01
6.079000e-05 4.388125e-01
6.099000e-05 4.392762e-01
6.119000e-05 4.397408e-01
6.139000e-05 4.402053e-01
6.159000e-05 4.406699e-01
6.179000e-05 4.411344e-01
6.199000e-05 4.415991e-01
6.219000e-05 4.420636e-01
6.239000e-05 4.425283e-01
6.259000e-05 4.429926e-01
6.279000e-05 4.434571e-01
6.299000e-05 4.439216e-01
6.319000e-05 4.443864e-01
6.339000e-05 4.448509e-01
6.359000e-05 4.453156e-01
6.379000e-05 4.457802e-01
6.399000e-05 4.462448e-01
6.419000e-05 4.466988e-01
6.439000e-05 4.471634e-01
6.459000e-05 4.476280e-01
6.479000e-05 4.480926e-01
6.499000e-05 4.485571e-01
6.519000e-05 4.490218e-01
6.539000e-05 4.494863e-01
6.559000e-05 4.499509e-01
6.579000e-05 4.504152e-01
6.599000e-05 4.508798e-01
6.619000e-05 4.513444e-01
6.639000e-05 4.518091e-01
6.659000e-05 4.522736e-01
6.679000e-05 4.527382e-01
6.699000e-05 4.532028e-01
6.719000e-05 4.536674e-01
6.739000e-05 4.541309e-01
6.759000e-05 4.545956e-01
6.779000e-05 4.550601e-01
6.799000e-05 4.555247e-01
6.819000e-05 4.559893e-01
6.839000e-05 4.564539e-01
6.859000e-05 4.569185e-01
6.879000e-05 4.573831e-01
6.899000e-05 4.578473e-01
6.919000e-05 4.583121e-01
6.939000e-05 4.587767e-01
6.959000e-05 4.592412e-01
6.979000e-05 4.597058e-01
6.999000e-05 4.601704e-01
7.019000e-05 4.606350e-01
7.039000e-05 4.610996e-01
7.059000e-05 4.615609e-01
7.079000e-05 4.620255e-01
7.099000e-05 4.624900e-01
7.119000e-05 4.629547e-01
7.139000e-05 4.634192e-01
7.159000e-05 4.638840e-01
7.179000e-05 4.643485e-01
7.199000e-05 4.648132e-01
7.219000e-05 4.652774e-01
7.239000e-05 4.657421e-01
7.259000e-05 4.662066e-01
7.279000e-05 4.666712e-01
7.299000e-05 4.671357e-01
7.319000e-05 4.676003e-01
7.339000e-05 4.680649e-01
7.359000e-05 4.685295e-01
7.379000e-05 4.689930e-01
7.399000e-05 4.694579e-01
7.419000e-05 4.699224e-01
7.439000e-05 4.703870e-01
7.459000e-05 4.708515e-01
7.479000e-05 4.713161e-01
7.499000e-05 4.717805e-01
7.519000e-05 4.722453e-01
7.539000e-05 4.727097e-01
7.559000e-05 4.731742e-01
7.579000e-05 4.736387e-01
7.599000e-05 4.741034e-01
7.619000e-05 4.745679e-01
7.639000e-05 4.750326e-01
7.659000e-05 4.754971e-01
7.679000e-05 4.759617e-01
7.699000e-05 4.763949e-01
7.719000e-05 4.768596e-01
7.739000e-05 4.773241e-01
7.759000e-05 4.777887e-01
7.779000e-05 4.782531e-01
7.799000e-05 4.787179e-01
7.819000e-05 4.791824e-01
7.839000e-05 4.796470e-01
7.859000e-05 4.801113e-01
7.879000e-05 4.805759e-01
7.899000e-05 4.810407e-01
7.919000e-05 4.815052e-01
7.939000e-05 4.819695e-01
7.959000e-05 4.824341e-01
7.979000e-05 4.828987e-01
7.999000e-05 4.833635e-01
8.019000e-05 4.838270e-01
8.039000e-05 4.842916e-01
8.059000e-05 4.847564e-01
8.079000e-05 4.852210e-01
8.099000e-05 4.856855e-01
8.119000e-05 4.861501e-01
8.139000e-05 4.866147e-01
8.159000e-05 4.870793e-01
8.179000e-05 4.875437e-01
8.199000e-05 4.880083e-01
8.219000e-05 4.884728e-01
8.239000e-05 4.889374e-01
8.259000e-05 4.894019e-01
8.279000e-05 4.898666e-01
8.299000e-05 4.903311e-01
8.319000e-05 4.907958e-01
8.339000e-05 4.912570e-01
8.359000e-05 4.917219e-01
8.379000e-05 4.921864e-01
8.399000e-05 4.926511e-01
8.419000e-05 4.931156e-01
8.439000e-05 4.935802e-01
8.459000e-05 4.940448e-01
8.479000e-05 4.945095e-01
8.499000e-05 4.949737e-01
8.519000e-05 4.954383e-01
8.539000e-05 4.959029e-01
8.559000e-05 4.963675e-01
8.579000e-05 4.968320e-01
8.599000e-05 4.972966e-01
8.619000e-05 4.977612e-01
8.639000e-05 4.982259e-01
8.659000e-05 4.986892e-01
8.679000e-05 4.991541e-01
8.699000e-05 4.996187e-01
8.719000e-05 5.000833e-01
8.739000e-05 5.005478e-01
8.759000e-05 5.010124e-01
8.779000e-05 5.014770e-01
8.799000e-05 5.019417e-01
8.819000e-05 5.024059e-01
8.839000e-05 5.028706e-01
8.859000e-05 5.033351e-01
8.879000e-05 5.037997e-01
8.899000e-05 5.042642e-01
8.919000e-05 5.047289e-01
8.939000e-05 5.051935e-01
8.959000e-05 5.056581e-01
8.979000e-05 5.061123e-01
8.999000e-05 5.065769e-01
9.019000e-05 5.070413e-01
9.039000e-05 5.075061e-01
9.059000e-05 5.079706e-01
9.079000e-05 5.084353e-01
9.099000e-05 5.088998e-01
9.119000e-05 5.093645e-01
9.139000e-05 5.098288e-01
9.159000e-05 5.102934e-01
9.179000e-05 5.107579e-01
9.199000e-05 5.112226e-01
9.219000e-05 5.116871e-01
9.239000e-05 5.121518e-01
9.259000e-05 5.126163e-01
9.279000e-05 5.130810e-01
9.299000e-05 5.135445e-01
9.319000e-05 5.140091e-01
9.339000e-05 5.144737e-01
9.359000e-05 5.149383e-01
9.379000e-05 5.154028e-01
9.399000e-05 5.158674e-01
9.419000e-05 5.163320e-01
9.439000e-05 5.167966e-01
9.459000e-05 5.172610e-01
9.479000e-05 5.177254e-01
9.499000e-05 5.181901e-01
9.519000e-05 5.186546e-01
9.539000e-05 5.191195e-01
9.559000e-05 5.195840e-01
9.579000e-05 5.200487e-01
9.599000e-05 5.205133e-01
9.619000e-05 5.209746e-01
9.639000e-05 5.214394e-01
9.659000e-05 5.219039e-01
9.679000e-05 5.223685e-01
9.699000e-05 5.228330e-01
9.719000e-05 5.232977e-01
9.739000e-05 5.237623e-01
9.759000e-05 5.242268e-01
9.779000e-05 5.246912e-01
9.799000e-05 5.251558e-01
9.819000e-05 5.256202e-01
9.839000e-05 5.260848e-01
9.859000e-05 5.265497e-01
9.879000e-05 5.270142e-01
9.899000e-05 5.274788e-01
9.919000e-05 5.279434e-01
9.939000e-05 5.284070e-01
9.959000e-05 5.288716e-01
9.979000e-05 5.293362e-01
