Time[s] Voltage[V]
1.900000e-07 2.970131e-01
3.900000e-07 2.974812e-01
5.900000e-07 2.979464e-01
7.900000e-07 2.984115e-01
9.900000e-07 2.988774e-01
1.190000e-06 2.993418e-01
1.390000e-06 2.998072e-01
1.590000e-06 3.002724e-01
1.790000e-06 3.007375e-01
1.990000e-06 3.012029e-01
2.190000e-06 3.016680e-01
2.390000e-06 3.021335e-01
2.590000e-06 3.025983e-01
2.790000e-06 3.030640e-01
2.990000e-06 3.035290e-01
3.190000e-06 3.039946e-01
3.390000e-06 3.044594e-01
3.590000e-06 3.049249e-01
3.790000e-06 3.053894e-01
3.990000e-06 3.058557e-01
4.190000e-06 3.063189e-01
4.390000e-06 3.067856e-01
4.590000e-06 3.072506e-01
4.790000e-06 3.077157e-01
4.990000e-06 3.081780e-01
5.190000e-06 3.086478e-01
5.390000e-06 3.091112e-01
5.590000e-06 3.095785e-01
5.790000e-06 3.100397e-01
5.990000e-06 3.105091e-01
6.190000e-06 3.109720e-01
6.390000e-06 3.114368e-01
6.590000e-06 3.118922e-01
6.790000e-06 3.123603e-01
6.990000e-06 3.128221e-01
7.190000e-06 3.132903e-01
7.390000e-06 3.137559e-01
7.590000e-06 3.142205e-01
7.790000e-06 3.146824e-01
7.990000e-06 3.151505e-01
8.190000e-06 3.156168e-01
8.390000e-06 3.160821e-01
8.590000e-06 3.165468e-01
8.790000e-06 3.170113e-01
8.990000e-06 3.174711e-01
9.190000e-06 3.179392e-01
9.390000e-06 3.184030e-01
9.590000e-06 3.188668e-01
9.790000e-06 3.193313e-01
9.990000e-06 3.197969e-01
1.019000e-05 3.202598e-01
1.039000e-05 3.207252e-01
1.059000e-05 3.211877e-01
1.079000e-05 3.216511e-01
1.099000e-05 3.221207e-01
1.119000e-05 3.225794e-01
1.139000e-05 3.230373e-01
1.159000e-05 3.235029e-01
1.179000e-05 3.239674e-01
1.199000e-05 3.244331e-01
1.219000e-05 3.249080e-01
1.239000e-05 3.253632e-01
1.259000e-05 3.258276e-01
1.279000e-05 3.262933e-01
1.299000e-05 3.267563e-01
1.319000e-05 3.272124e-01
1.339000e-05 3.276748e-01
1.359000e-05 3.281425e-01
1.379000e-05 3.286041e-01
1.399000e-05 3.290726e-01
1.419000e-05 3.295356e-01
1.439000e-05 3.300026e-01
1.459000e-05 3.304653e-01
1.479000e-05 3.309325e-01
1.499000e-05 3.313958e-01
1.519000e-05 3.318625e-01
1.539000e-05 3.323254e-01
1.559000e-05 3.327924e-01
1.579000e-05 3.332556e-01
1.599000e-05 3.337226e-01
1.619000e-05 3.341825e-01
1.639000e-05 3.346532e-01
1.659000e-05 3.351141e-01
1.679000e-05 3.355833e-01
1.699000e-05 3.360433e-01
1.719000e-05 3.365135e-01
1.739000e-05 3.369737e-01
1.759000e-05 3.374432e-01
1.779000e-05 3.379031e-01
1.799000e-05 3.383729e-01
1.819000e-05 3.388332e-01
1.839000e-05 3.393025e-01
1.859000e-05 3.397625e-01
1.879000e-05 3.402320e-01
1.899000e-05 3.406925e-01
1.919000e-05 3.411614e-01
1.939000e-05 3.416225e-01
1.959000e-05 3.420861e-01
1.979000e-05 3.425497e-01
1.999000e-05 3.430157e-01
2.019000e-05 3.434782e-01
2.039000e-05 3.439452e-01
2.059000e-05 3.444090e-01
2.079000e-05 3.448747e-01
2.099000e-05 3.453382e-01
2.119000e-05 3.458039e-01
2.139000e-05 3.462684e-01
2.159000e-05 3.467332e-01
2.179000e-05 3.471973e-01
2.199000e-05 3.476626e-01
2.219000e-05 3.481273e-01
2.239000e-05 3.485920e-01
2.259000e-05 3.490536e-01
2.279000e-05 3.495202e-01
2.299000e-05 3.499844e-01
2.319000e-05 3.504479e-01
2.339000e-05 3.509131e-01
2.359000e-05 3.513725e-01
2.379000e-05 3.518433e-01
2.399000e-05 3.522997e-01
2.419000e-05 3.527725e-01
2.439000e-05 3.532308e-01
2.459000e-05 3.537019e-01
2.479000e-05 3.541613e-01
2.499000e-05 3.546312e-01
2.519000e-05 3.550915e-01
2.539000e-05 3.555596e-01
2.559000e-05 3.560217e-01
2.579000e-05 3.564585e-01
2.599000e-05 3.569203e-01
2.619000e-05 3.573793e-01
2.639000e-05 3.578492e-01
2.659000e-05 3.583161e-01
2.679000e-05 3.587806e-01
2.699000e-05 3.592398e-01
2.719000e-05 3.597105e-01
2.739000e-05 3.601759e-01
2.759000e-05 3.606416e-01
2.779000e-05 3.611060e-01
2.799000e-05 3.615710e-01
2.819000e-05 3.620342e-01
2.839000e-05 3.625005e-01
2.859000e-05 3.629652e-01
2.879000e-05 3.634299e-01
2.899000e-05 3.638893e-01
2.919000e-05 3.643546e-01
2.939000e-05 3.648172e-01
2.959000e-05 3.652868e-01
2.979000e-05 3.657484e-01
2.999000e-05 3.662176e-01
3.019000e-05 3.666791e-01
3.039000e-05 3.671472e-01
3.059000e-05 3.676006e-01
3.079000e-05 3.680747e-01
3.099000e-05 3.685412e-01
3.119000e-05 3.690040e-01
3.139000e-05 3.694587e-01
3.159000e-05 3.699332e-01
3.179000e-05 3.704001e-01
3.199000e-05 3.708624e-01
3.219000e-05 3.713205e-01
3.239000e-05 3.717906e-01
3.259000e-05 3.722560e-01
3.279000e-05 3.727202e-01
3.299000e-05 3.731727e-01
3.319000e-05 3.736493e-01
3.339000e-05 3.741147e-01
3.359000e-05 3.745787e-01
3.379000e-05 3.750419e-01
3.399000e-05 3.755046e-01
3.419000e-05 3.759719e-01
3.439000e-05 3.764326e-01
3.459000e-05 3.769005e-01
3.479000e-05 3.773631e-01
3.499000e-05 3.778305e-01
3.519000e-05 3.782923e-01
3.539000e-05 3.787573e-01
3.559000e-05 3.792250e-01
3.579000e-05 3.796845e-01
3.599000e-05 3.801545e-01
3.619000e-05 3.806140e-01
3.639000e-05 3.810827e-01
3.659000e-05 3.815483e-01
3.679000e-05 3.820120e-01
3.699000e-05 3.824772e-01
3.719000e-05 3.829384e-01
3.739000e-05 3.834047e-01
3.759000e-05 3.838680e-01
3.779000e-05 3.843359e-01
3.799000e-05 3.847974e-01
3.819000e-05 3.852631e-01
3.839000e-05 3.857270e-01
3.859000e-05 3.861851e-01
3.879000e-05 3.866486e-01
3.899000e-05 3.871142e-01
3.919000e-05 3.875778e-01
3.939000e-05 3.880437e-01
3.959000e-05 3.885076e-01
3.979000e-05 3.889728e-01
3.999000e-05 3.894368e-01
4.019000e-05 3.899014e-01
4.039000e-05 3.903649e-01
4.059000e-05 3.908300e-01
4.079000e-05 3.912941e-01
4.099000e-05 3.917597e-01
4.119000e-05 3.922232e-01
4.139000e-05 3.926882e-01
4.159000e-05 3.931524e-01
4.179000e-05 3.936188e-01
4.199000e-05 3.940812e-01
4.219000e-05 3.945465e-01
4.239000e-05 3.950103e-01
4.259000e-05 3.954771e-01
4.279000e-05 3.959384e-01
4.299000e-05 3.964047e-01
4.319000e-05 3.968680e-01
4.339000e-05 3.973334e-01
4.359000e-05 3.977977e-01
4.379000e-05 3.982613e-01
4.399000e-05 3.987275e-01
4.419000e-05 3.991912e-01
4.439000e-05 3.996572e-01
4.459000e-05 4.001194e-01
4.479000e-05 4.005870e-01
4.499000e-05 4.010458e-01
4.519000e-05 4.015123e-01
4.539000e-05 4.019767e-01
4.559000e-05 4.024423e-01
4.579000e-05 4.029052e-01
4.599000e-05 4.033722e-01
4.619000e-05 4.038364e-01
4.639000e-05 4.043019e-01
4.659000e-05 4.047655e-01
4.679000e-05 4.052313e-01
4.699000e-05 4.056956e-01
4.719000e-05 4.061609e-01
4.739000e-05 4.066251e-01
4.759000e-05 4.070906e-01
4.779000e-05 4.075550e-01
4.799000e-05 4.080202e-01
4.819000e-05 4.084823e-01
4.839000e-05 4.089520e-01
4.859000e-05 4.094134e-01
4.879000e-05 4.098823e-01
4.899000e-05 4.103443e-01
4.919000e-05 4.108113e-01
4.939000e-05 4.112725e-01
4.959000e-05 4.117409e-01
4.979000e-05 4.122029e-01
4.999000e-05 4.126695e-01
5.019000e-05 4.131326e-01
5.039000e-05 4.135991e-01
5.059000e-05 4.140622e-01
5.079000e-05 4.145286e-01
5.099000e-05 4.149929e-01
5.119000e-05 4.154582e-01
5.139000e-05 4.158352e-01
5.159000e-05 4.163031e-01
5.179000e-05 4.167680e-01
5.199000e-05 4.172330e-01
5.219000e-05 4.176958e-01
5.239000e-05 4.181604e-01
5.259000e-05 4.186273e-01
5.279000e-05 4.190913e-01
5.299000e-05 4.195510e-01
5.319000e-05 4.200171e-01
5.339000e-05 4.204884e-01
5.359000e-05 4.209465e-01
5.379000e-05 4.214175e-01
5.399000e-05 4.218760e-01
5.419000e-05 4.223476e-01
5.439000e-05 4.228053e-01
5.459000e-05 4.232706e-01
5.479000e-05 4.237309e-01
5.499000e-05 4.241959e-01
5.519000e-05 4.246599e-01
5.539000e-05 4.251334e-01
5.559000e-05 4.255891e-01
5.579000e-05 4.260542e-01
5.599000e-05 4.265198e-01
5.619000e-05 4.269957e-01
5.639000e-05 4.274492e-01
5.659000e-05 4.279122e-01
5.679000e-05 4.283799e-01
5.699000e-05 4.288548e-01
5.719000e-05 4.293103e-01
5.739000e-05 4.297704e-01
5.759000e-05 4.302350e-01
5.779000e-05 4.307023e-01
5.799000e-05 4.311719e-01
5.819000e-05 4.316282e-01
5.839000e-05 4.321005e-01
5.859000e-05 4.325722e-01
5.879000e-05 4.330350e-01
5.899000e-05 4.334844e-01
5.919000e-05 4.339649e-01
5.939000e-05 4.344313e-01
5.959000e-05 4.348957e-01
5.979000e-05 4.353601e-01
5.999000e-05 4.358255e-01
6.019000e-05 4.362740e-01
6.039000e-05 4.367551e-01
6.059000e-05 4.372196e-01
6.079000e-05 4.376849e-01
6.099000e-05 4.381500e-01
6.119000e-05 4.386089e-01
6.139000e-05 4.390604e-01
6.159000e-05 4.395379e-01
6.179000e-05 4.399962e-01
6.199000e-05 4.404746e-01
6.219000e-05 4.409167e-01
6.239000e-05 4.414043e-01
6.259000e-05 4.418662e-01
6.279000e-05 4.423308e-01
6.299000e-05 4.427963e-01
6.319000e-05 4.432602e-01
6.339000e-05 4.437059e-01
6.359000e-05 4.441900e-01
6.379000e-05 4.446557e-01
6.399000e-05 4.451196e-01
6.419000e-05 4.455548e-01
6.439000e-05 4.460414e-01
6.459000e-05 4.465028e-01
6.479000e-05 4.469707e-01
6.499000e-05 4.474118e-01
6.519000e-05 4.479007e-01
6.539000e-05 4.483636e-01
6.559000e-05 4.488303e-01
6.579000e-05 4.492944e-01
6.599000e-05 4.497563e-01
6.619000e-05 4.502246e-01
6.639000e-05 4.506859e-01
6.659000e-05 4.511542e-01
6.679000e-05 4.516189e-01
6.699000e-05 4.520835e-01
6.719000e-05 4.525485e-01
6.739000e-05 4.529947e-01
6.759000e-05 4.534719e-01
6.779000e-05 4.539396e-01
6.799000e-05 4.544010e-01
6.819000e-05 4.548588e-01
6.839000e-05 4.553297e-01
6.859000e-05 4.558007e-01
6.879000e-05 4.562591e-01
6.899000e-05 4.567313e-01
6.919000e-05 4.571889e-01
6.939000e-05 4.576589e-01
6.959000e-05 4.581183e-01
6.979000e-05 4.585901e-01
6.999000e-05 4.590477e-01
7.019000e-05 4.595176e-01
7.039000e-05 4.599771e-01
7.059000e-05 4.604388e-01
7.079000e-05 4.609077e-01
7.099000e-05 4.613762e-01
7.119000e-05 4.618370e-01
7.139000e-05 4.623059e-01
7.159000e-05 4.627660e-01
7.179000e-05 4.632350e-01
7.199000e-05 4.636955e-01
7.219000e-05 4.641640e-01
7.239000e-05 4.646243e-01
7.259000e-05 4.650902e-01
7.279000e-05 4.655538e-01
7.299000e-05 4.660208e-01
7.319000e-05 4.664832e-01
7.339000e-05 4.669490e-01
7.359000e-05 4.674127e-01
7.379000e-05 4.678807e-01
7.399000e-05 4.683381e-01
7.419000e-05 4.688108e-01
7.439000e-05 4.692665e-01
7.459000e-05 4.697408e-01
7.479000e-05 4.701963e-01
7.499000e-05 4.706693e-01
7.519000e-05 4.711255e-01
7.539000e-05 4.715978e-01
7.559000e-05 4.720538e-01
7.579000e-05 4.725245e-01
7.599000e-05 4.729830e-01
7.619000e-05 4.734553e-01
7.639000e-05 4.739121e-01
7.659000e-05 4.743832e-01
7.679000e-05 4.748413e-01
