Time[s] Voltage[V]
1.950000e-07 6.976432e-01
3.950000e-07 6.981172e-01
5.950000e-07 6.985813e-01
7.950000e-07 6.990437e-01
9.950000e-07 6.995095e-01
1.195000e-06 6.999712e-01
1.395000e-06 7.004338e-01
1.595000e-06 7.008949e-01
1.795000e-06 7.013710e-01
1.995000e-06 7.018325e-01
2.195000e-06 7.022940e-01
2.395000e-06 7.027536e-01
2.595000e-06 7.032201e-01
2.795000e-06 7.036813e-01
2.995000e-06 7.041426e-01
3.195000e-06 7.046253e-01
3.395000e-06 7.050941e-01
3.595000e-06 7.055565e-01
3.795000e-06 7.060175e-01
3.995000e-06 7.064765e-01
4.195000e-06 7.069463e-01
4.395000e-06 7.074106e-01
4.595000e-06 7.078770e-01
4.795000e-06 7.083489e-01
4.995000e-06 7.088100e-01
5.195000e-06 7.092795e-01
5.395000e-06 7.097441e-01
5.595000e-06 7.102164e-01
5.795000e-06 7.106779e-01
5.995000e-06 7.111489e-01
6.195000e-06 7.116169e-01
6.395000e-06 7.120860e-01
6.595000e-06 7.125153e-01
6.795000e-06 7.129754e-01
6.995000e-06 7.134428e-01
7.195000e-06 7.139128e-01
7.395000e-06 7.143761e-01
7.595000e-06 7.148449e-01
7.795000e-06 7.153137e-01
7.995000e-06 7.157840e-01
8.195000e-06 7.162348e-01
8.395000e-06 7.167017e-01
8.595000e-06 7.171703e-01
8.795000e-06 7.176409e-01
8.995000e-06 7.181045e-01
9.195000e-06 7.185730e-01
9.395000e-06 7.190422e-01
9.595000e-06 7.195146e-01
9.795000e-06 7.199411e-01
9.995000e-06 7.204220e-01
1.019500e-05 7.208810e-01
1.039500e-05 7.213521e-01
1.059500e-05 7.218130e-01
1.079500e-05 7.222820e-01
1.099500e-05 7.227538e-01
1.119500e-05 7.232241e-01
1.139500e-05 7.236621e-01
1.159500e-05 7.241501e-01
1.179500e-05 7.246142e-01
1.199500e-05 7.250784e-01
1.219500e-05 7.255435e-01
1.239500e-05 7.260103e-01
1.259500e-05 7.264717e-01
1.279500e-05 7.269345e-01
1.299500e-05 7.273684e-01
1.319500e-05 7.278555e-01
1.339500e-05 7.283180e-01
1.359500e-05 7.287681e-01
1.379500e-05 7.292485e-01
1.399500e-05 7.297048e-01
1.419500e-05 7.301687e-01
1.439500e-05 7.306269e-01
1.459500e-05 7.311142e-01
1.479500e-05 7.315687e-01
1.499500e-05 7.320313e-01
1.519500e-05 7.324878e-01
1.539500e-05 7.329632e-01
1.559500e-05 7.334184e-01
1.579500e-05 7.338809e-01
1.599500e-05 7.343496e-01
1.619500e-05 7.348418e-01
1.639500e-05 7.352836e-01
1.659500e-05 7.357463e-01
1.679500e-05 7.362081e-01
1.699500e-05 7.366823e-01
1.719500e-05 7.371380e-01
1.739500e-05 7.376039e-01
1.759500e-05 7.380726e-01
1.779500e-05 7.385574e-01
1.799500e-05 7.389954e-01
1.819500e-05 7.394619e-01
1.839500e-05 7.399321e-01
1.859500e-05 7.403912e-01
1.879500e-05 7.408632e-01
1.899500e-05 7.413298e-01
1.919500e-05 7.418010e-01
1.939500e-05 7.422861e-01
1.959500e-05 7.426894e-01
1.979500e-05 7.431557e-01
1.999500e-05 7.436247e-01
2.019500e-05 7.440857e-01
2.039500e-05 7.445556e-01
2.059500e-05 7.450219e-01
2.079500e-05 7.454924e-01
2.099500e-05 7.459425e-01
2.119500e-05 7.464123e-01
2.139500e-05 7.468788e-01
2.159500e-05 7.473500e-01
2.179500e-05 7.478075e-01
2.199500e-05 7.482808e-01
2.219500e-05 7.487481e-01
2.239500e-05 7.492201e-01
2.259500e-05 7.496492e-01
2.279500e-05 7.501246e-01
2.299500e-05 7.505911e-01
2.319500e-05 7.510626e-01
2.339500e-05 7.515196e-01
2.359500e-05 7.519933e-01
2.379500e-05 7.524607e-01
2.399500e-05 7.529328e-01
2.419500e-05 7.533738e-01
2.439500e-05 7.538500e-01
2.459500e-05 7.543174e-01
2.479500e-05 7.547896e-01
2.499500e-05 7.552458e-01
2.519500e-05 7.557205e-01
2.539500e-05 7.561880e-01
2.559500e-05 7.566605e-01
2.579500e-05 7.570890e-01
2.599500e-05 7.575402e-01
2.619500e-05 7.579959e-01
2.639500e-05 7.584533e-01
2.659500e-05 7.589228e-01
2.679500e-05 7.593732e-01
2.699500e-05 7.598353e-01
2.719500e-05 7.602961e-01
2.739500e-05 7.607884e-01
2.759500e-05 7.612232e-01
2.779500e-05 7.616877e-01
2.799500e-05 7.621424e-01
2.819500e-05 7.626452e-01
2.839500e-05 7.630705e-01
2.859500e-05 7.635379e-01
2.879500e-05 7.639884e-01
2.899500e-05 7.644759e-01
2.919500e-05 7.649327e-01
2.939500e-05 7.653960e-01
2.959500e-05 7.658543e-01
2.979500e-05 7.663258e-01
2.999500e-05 7.667820e-01
3.019500e-05 7.672444e-01
3.039500e-05 7.677033e-01
3.059500e-05 7.681784e-01
3.079500e-05 7.686450e-01
3.099500e-05 7.691055e-01
3.119500e-05 7.695666e-01
3.139500e-05 7.700366e-01
3.159500e-05 7.705011e-01
3.179500e-05 7.709546e-01
3.199500e-05 7.714155e-01
3.219500e-05 7.718988e-01
3.239500e-05 7.723638e-01
3.259500e-05 7.728261e-01
3.279500e-05 7.732883e-01
3.299500e-05 7.737526e-01
3.319500e-05 7.742186e-01
3.339500e-05 7.746786e-01
3.359500e-05 7.751405e-01
3.379500e-05 7.756057e-01
3.399500e-05 7.761007e-01
3.419500e-05 7.765598e-01
3.439500e-05 7.769851e-01
3.459500e-05 7.774637e-01
3.479500e-05 7.779739e-01
3.499500e-05 7.784373e-01
3.519500e-05 7.789142e-01
3.539500e-05 7.793369e-01
3.559500e-05 7.798339e-01
3.579500e-05 7.803008e-01
3.599500e-05 7.807696e-01
3.619500e-05 7.812302e-01
3.639500e-05 7.817020e-01
3.659500e-05 7.821707e-01
3.679500e-05 7.826401e-01
3.699500e-05 7.830735e-01
3.719500e-05 7.835668e-01
3.739500e-05 7.840293e-01
3.759500e-05 7.844981e-01
3.779500e-05 7.849646e-01
