Time[s] Voltage[V]
1.950000e-07 6.908096e-01
3.950000e-07 6.912760e-01
5.950000e-07 6.917266e-01
7.950000e-07 6.921761e-01
9.950000e-07 6.926336e-01
1.195000e-06 6.930843e-01
1.395000e-06 6.935415e-01
1.595000e-06 6.939838e-01
1.795000e-06 6.944512e-01
1.995000e-06 6.949010e-01
2.195000e-06 6.953515e-01
2.395000e-06 6.958011e-01
2.595000e-06 6.962586e-01
2.795000e-06 6.967091e-01
2.995000e-06 6.971592e-01
3.195000e-06 6.976087e-01
3.395000e-06 6.980940e-01
3.595000e-06 6.985476e-01
3.795000e-06 6.990000e-01
3.995000e-06 6.994458e-01
4.195000e-06 6.999020e-01
4.395000e-06 7.003512e-01
4.595000e-06 7.008039e-01
4.795000e-06 7.012500e-01
4.995000e-06 7.017208e-01
5.195000e-06 7.021737e-01
5.395000e-06 7.026238e-01
5.595000e-06 7.030697e-01
5.795000e-06 7.035284e-01
5.995000e-06 7.039774e-01
6.195000e-06 7.044272e-01
6.395000e-06 7.048740e-01
6.595000e-06 7.053824e-01
6.795000e-06 7.058287e-01
6.995000e-06 7.062828e-01
7.195000e-06 7.067305e-01
7.395000e-06 7.071850e-01
7.595000e-06 7.076338e-01
7.795000e-06 7.080847e-01
7.995000e-06 7.085339e-01
8.195000e-06 7.090077e-01
8.395000e-06 7.094567e-01
8.595000e-06 7.099075e-01
8.795000e-06 7.103549e-01
8.995000e-06 7.108123e-01
9.195000e-06 7.112606e-01
9.395000e-06 7.117122e-01
9.595000e-06 7.121528e-01
9.795000e-06 7.126510e-01
9.995000e-06 7.130806e-01
1.019500e-05 7.135517e-01
1.039500e-05 7.140001e-01
1.059500e-05 7.144582e-01
1.079500e-05 7.149034e-01
1.099500e-05 7.153567e-01
1.119500e-05 7.158031e-01
1.139500e-05 7.162776e-01
1.159500e-05 7.167265e-01
1.179500e-05 7.171787e-01
1.199500e-05 7.176251e-01
1.219500e-05 7.180826e-01
1.239500e-05 7.185249e-01
1.259500e-05 7.189801e-01
1.279500e-05 7.194799e-01
1.299500e-05 7.199213e-01
1.319500e-05 7.203670e-01
1.339500e-05 7.208168e-01
1.359500e-05 7.212661e-01
1.379500e-05 7.217229e-01
1.399500e-05 7.221712e-01
1.419500e-05 7.226225e-01
1.439500e-05 7.230716e-01
1.459500e-05 7.235488e-01
1.479500e-05 7.239924e-01
1.499500e-05 7.244451e-01
1.519500e-05 7.248929e-01
1.539500e-05 7.253508e-01
1.559500e-05 7.257973e-01
1.579500e-05 7.262473e-01
1.599500e-05 7.266950e-01
1.619500e-05 7.271957e-01
1.639500e-05 7.276166e-01
1.659500e-05 7.280726e-01
1.679500e-05 7.285295e-01
1.699500e-05 7.289837e-01
1.719500e-05 7.294398e-01
1.739500e-05 7.298962e-01
1.759500e-05 7.303540e-01
1.779500e-05 7.308097e-01
1.799500e-05 7.312575e-01
1.819500e-05 7.317132e-01
1.839500e-05 7.321712e-01
1.859500e-05 7.326232e-01
1.879500e-05 7.330811e-01
1.899500e-05 7.335372e-01
1.919500e-05 7.339955e-01
1.939500e-05 7.344775e-01
1.959500e-05 7.349206e-01
1.979500e-05 7.353710e-01
1.999500e-05 7.358200e-01
2.019500e-05 7.362775e-01
2.039500e-05 7.367257e-01
2.059500e-05 7.371766e-01
2.079500e-05 7.376256e-01
2.099500e-05 7.381045e-01
2.119500e-05 7.385495e-01
2.139500e-05 7.389994e-01
2.159500e-05 7.394477e-01
2.179500e-05 7.399047e-01
2.199500e-05 7.403525e-01
2.219500e-05 7.408030e-01
2.239500e-05 7.412517e-01
2.259500e-05 7.417482e-01
2.279500e-05 7.421484e-01
2.299500e-05 7.426067e-01
2.319500e-05 7.430627e-01
2.339500e-05 7.435231e-01
2.359500e-05 7.439735e-01
2.379500e-05 7.444312e-01
2.399500e-05 7.448886e-01
2.419500e-05 7.453649e-01
2.439500e-05 7.457894e-01
2.459500e-05 7.462475e-01
2.479500e-05 7.467044e-01
2.499500e-05 7.471615e-01
2.519500e-05 7.476156e-01
2.539500e-05 7.480723e-01
2.559500e-05 7.485305e-01
2.579500e-05 7.489390e-01
2.599500e-05 7.494157e-01
2.619500e-05 7.498706e-01
2.639500e-05 7.503307e-01
2.659500e-05 7.507811e-01
2.679500e-05 7.512444e-01
2.699500e-05 7.517004e-01
2.719500e-05 7.521602e-01
2.739500e-05 7.525791e-01
2.759500e-05 7.530574e-01
2.779500e-05 7.535147e-01
2.799500e-05 7.539735e-01
2.819500e-05 7.544235e-01
2.839500e-05 7.548874e-01
2.859500e-05 7.553454e-01
2.879500e-05 7.557739e-01
2.899500e-05 7.562233e-01
2.919500e-05 7.566779e-01
2.939500e-05 7.571359e-01
2.959500e-05 7.575941e-01
2.979500e-05 7.580484e-01
2.999500e-05 7.585065e-01
3.019500e-05 7.589653e-01
3.039500e-05 7.594238e-01
3.059500e-05 7.598646e-01
3.079500e-05 7.603246e-01
3.099500e-05 7.607794e-01
3.119500e-05 7.612387e-01
3.139500e-05 7.616919e-01
3.159500e-05 7.621505e-01
3.179500e-05 7.626089e-01
3.199500e-05 7.630715e-01
3.219500e-05 7.634909e-01
3.239500e-05 7.639505e-01
