Time[s] Voltage[V]
1.700000e-07 6.988687e-01
3.700000e-07 6.993232e-01
5.700000e-07 6.997870e-01
7.700000e-07 7.002517e-01
9.700000e-07 7.007201e-01
1.170000e-06 7.011801e-01
1.370000e-06 7.016516e-01
1.570000e-06 7.021098e-01
1.770000e-06 7.025772e-01
1.970000e-06 7.030355e-01
2.170000e-06 7.035058e-01
2.370000e-06 7.039664e-01
2.570000e-06 7.044374e-01
2.770000e-06 7.048955e-01
2.970000e-06 7.053657e-01
3.170000e-06 7.058245e-01
3.370000e-06 7.062856e-01
3.570000e-06 7.067460e-01
3.770000e-06 7.072097e-01
3.970000e-06 7.076677e-01
4.170000e-06 7.081385e-01
4.370000e-06 7.085922e-01
4.570000e-06 7.090599e-01
4.770000e-06 7.095138e-01
4.970000e-06 7.099987e-01
5.170000e-06 7.104491e-01
5.370000e-06 7.109157e-01
5.570000e-06 7.113710e-01
5.770000e-06 7.118504e-01
5.970000e-06 7.122959e-01
6.170000e-06 7.127655e-01
6.370000e-06 7.132103e-01
6.570000e-06 7.137102e-01
6.770000e-06 7.141793e-01
6.970000e-06 7.146415e-01
7.170000e-06 7.151023e-01
7.370000e-06 7.155656e-01
7.570000e-06 7.160270e-01
7.770000e-06 7.164905e-01
7.970000e-06 7.169496e-01
8.170000e-06 7.174221e-01
8.370000e-06 7.178841e-01
8.570000e-06 7.183482e-01
8.770000e-06 7.188070e-01
8.970000e-06 7.192763e-01
9.170000e-06 7.197322e-01
9.370000e-06 7.201972e-01
9.570000e-06 7.206529e-01
9.770000e-06 7.211378e-01
9.970000e-06 7.216128e-01
1.017000e-05 7.220606e-01
1.037000e-05 7.225180e-01
1.057000e-05 7.229836e-01
1.077000e-05 7.234393e-01
1.097000e-05 7.239004e-01
1.117000e-05 7.243552e-01
1.137000e-05 7.248428e-01
1.157000e-05 7.252976e-01
1.177000e-05 7.257591e-01
1.197000e-05 7.262150e-01
1.217000e-05 7.266843e-01
1.237000e-05 7.271369e-01
1.257000e-05 7.276000e-01
1.277000e-05 7.280495e-01
1.297000e-05 7.285475e-01
1.317000e-05 7.290473e-01
1.337000e-05 7.295053e-01
1.357000e-05 7.299652e-01
1.377000e-05 7.304269e-01
1.397000e-05 7.308879e-01
1.417000e-05 7.313470e-01
1.437000e-05 7.318058e-01
1.457000e-05 7.322855e-01
1.477000e-05 7.327476e-01
1.497000e-05 7.332062e-01
1.517000e-05 7.336633e-01
1.537000e-05 7.341270e-01
1.557000e-05 7.345845e-01
1.577000e-05 7.350433e-01
1.597000e-05 7.354998e-01
1.617000e-05 7.360159e-01
1.637000e-05 7.364734e-01
1.657000e-05 7.369323e-01
1.677000e-05 7.373882e-01
1.697000e-05 7.378530e-01
1.717000e-05 7.383095e-01
1.737000e-05 7.387665e-01
1.757000e-05 7.392242e-01
1.777000e-05 7.397106e-01
1.797000e-05 7.401780e-01
1.817000e-05 7.406240e-01
1.837000e-05 7.410815e-01
1.857000e-05 7.415436e-01
1.877000e-05 7.420030e-01
1.897000e-05 7.424580e-01
1.917000e-05 7.429171e-01
1.937000e-05 7.434430e-01
1.957000e-05 7.439062e-01
1.977000e-05 7.443611e-01
1.997000e-05 7.448231e-01
2.017000e-05 7.452856e-01
2.037000e-05 7.457464e-01
2.057000e-05 7.462035e-01
2.077000e-05 7.466626e-01
2.097000e-05 7.471408e-01
2.117000e-05 7.476042e-01
2.137000e-05 7.480611e-01
2.157000e-05 7.485197e-01
2.177000e-05 7.489830e-01
2.197000e-05 7.494427e-01
2.217000e-05 7.498995e-01
2.237000e-05 7.503579e-01
2.257000e-05 7.508686e-01
2.277000e-05 7.513305e-01
2.297000e-05 7.517883e-01
2.317000e-05 7.522452e-01
2.337000e-05 7.527101e-01
2.357000e-05 7.531688e-01
2.377000e-05 7.536241e-01
2.397000e-05 7.540838e-01
2.417000e-05 7.545661e-01
2.437000e-05 7.550249e-01
2.457000e-05 7.554816e-01
2.477000e-05 7.559413e-01
2.497000e-05 7.564012e-01
2.517000e-05 7.568633e-01
2.537000e-05 7.573162e-01
2.557000e-05 7.577778e-01
2.577000e-05 7.582562e-01
2.597000e-05 7.587195e-01
2.617000e-05 7.591776e-01
2.637000e-05 7.596338e-01
2.657000e-05 7.601011e-01
2.677000e-05 7.605543e-01
2.697000e-05 7.610149e-01
2.717000e-05 7.614683e-01
2.737000e-05 7.619602e-01
2.757000e-05 7.624117e-01
2.777000e-05 7.628701e-01
2.797000e-05 7.633249e-01
2.817000e-05 7.637946e-01
2.837000e-05 7.642464e-01
2.857000e-05 7.647048e-01
2.877000e-05 7.651588e-01
2.897000e-05 7.656881e-01
2.917000e-05 7.661378e-01
2.937000e-05 7.666015e-01
2.957000e-05 7.670613e-01
2.977000e-05 7.675257e-01
2.997000e-05 7.679877e-01
3.017000e-05 7.684502e-01
3.037000e-05 7.689110e-01
3.057000e-05 7.693822e-01
3.077000e-05 7.698474e-01
3.097000e-05 7.703080e-01
3.117000e-05 7.707690e-01
3.137000e-05 7.712321e-01
3.157000e-05 7.716929e-01
3.177000e-05 7.721569e-01
3.197000e-05 7.726241e-01
3.217000e-05 7.731338e-01
3.237000e-05 7.735787e-01
3.257000e-05 7.740380e-01
3.277000e-05 7.744954e-01
3.297000e-05 7.749602e-01
3.317000e-05 7.754155e-01
3.337000e-05 7.758750e-01
3.357000e-05 7.763313e-01
3.377000e-05 7.768195e-01
3.397000e-05 7.772738e-01
3.417000e-05 7.777312e-01
3.437000e-05 7.781931e-01
3.457000e-05 7.786521e-01
3.477000e-05 7.791077e-01
3.497000e-05 7.795649e-01
3.517000e-05 7.800210e-01
3.537000e-05 7.805504e-01
3.557000e-05 7.809944e-01
3.577000e-05 7.814568e-01
3.597000e-05 7.819175e-01
3.617000e-05 7.823819e-01
3.637000e-05 7.828431e-01
3.657000e-05 7.833095e-01
3.677000e-05 7.837661e-01
3.697000e-05 7.842403e-01
3.717000e-05 7.847094e-01
3.737000e-05 7.851631e-01
3.757000e-05 7.856243e-01
3.777000e-05 7.860874e-01
3.797000e-05 7.865511e-01
3.817000e-05 7.870120e-01
3.837000e-05 7.874749e-01
3.857000e-05 7.879810e-01
3.877000e-05 7.884181e-01
3.897000e-05 7.888981e-01
3.917000e-05 7.893544e-01
3.937000e-05 7.898222e-01
3.957000e-05 7.902767e-01
3.977000e-05 7.907363e-01
3.997000e-05 7.912066e-01
4.017000e-05 7.916826e-01
4.037000e-05 7.921339e-01
4.057000e-05 7.925929e-01
4.077000e-05 7.930492e-01
4.097000e-05 7.935172e-01
4.117000e-05 7.939725e-01
4.137000e-05 7.944313e-01
4.157000e-05 7.948878e-01
4.177000e-05 7.954108e-01
4.197000e-05 7.958462e-01
4.217000e-05 7.963103e-01
4.237000e-05 7.967709e-01
4.257000e-05 7.972393e-01
4.277000e-05 7.977001e-01
4.297000e-05 7.981607e-01
4.317000e-05 7.986220e-01
4.337000e-05 7.991002e-01
4.357000e-05 7.995550e-01
4.377000e-05 8.000177e-01
4.397000e-05 8.004794e-01
4.417000e-05 8.009451e-01
4.437000e-05 8.014067e-01
4.457000e-05 8.018676e-01
4.477000e-05 8.023303e-01
4.497000e-05 8.028535e-01
4.517000e-05 8.032984e-01
4.537000e-05 8.037581e-01
4.557000e-05 8.042179e-01
4.577000e-05 8.046826e-01
4.597000e-05 8.051374e-01
