Time[s] Voltage[V]
1.900000e-07 6.984934e-01
3.900000e-07 6.989587e-01
5.900000e-07 6.994231e-01
7.900000e-07 6.998875e-01
9.900000e-07 7.003517e-01
1.190000e-06 7.008161e-01
1.390000e-06 7.012805e-01
1.590000e-06 7.017449e-01
1.790000e-06 7.022091e-01
1.990000e-06 7.026734e-01
2.190000e-06 7.031378e-01
2.390000e-06 7.036022e-01
2.590000e-06 7.040665e-01
2.790000e-06 7.045309e-01
2.990000e-06 7.049952e-01
3.190000e-06 7.054596e-01
3.390000e-06 7.059233e-01
3.590000e-06 7.063877e-01
3.790000e-06 7.068521e-01
3.990000e-06 7.073165e-01
4.190000e-06 7.077808e-01
4.390000e-06 7.082451e-01
4.590000e-06 7.087095e-01
4.790000e-06 7.091739e-01
4.990000e-06 7.096381e-01
5.190000e-06 7.101025e-01
5.390000e-06 7.105668e-01
5.590000e-06 7.110312e-01
5.790000e-06 7.114955e-01
5.990000e-06 7.119599e-01
6.190000e-06 7.124243e-01
6.390000e-06 7.128887e-01
6.590000e-06 7.133510e-01
6.790000e-06 7.138154e-01
6.990000e-06 7.142798e-01
7.190000e-06 7.147442e-01
7.390000e-06 7.152084e-01
7.590000e-06 7.156728e-01
7.790000e-06 7.161372e-01
7.990000e-06 7.166016e-01
8.190000e-06 7.170658e-01
8.390000e-06 7.175302e-01
8.590000e-06 7.179945e-01
8.790000e-06 7.184589e-01
8.990000e-06 7.189232e-01
9.190000e-06 7.193876e-01
9.390000e-06 7.198520e-01
9.590000e-06 7.203163e-01
9.790000e-06 7.207801e-01
9.990000e-06 7.212445e-01
1.019000e-05 7.217088e-01
1.039000e-05 7.221732e-01
1.059000e-05 7.226375e-01
1.079000e-05 7.231019e-01
1.099000e-05 7.235663e-01
1.119000e-05 7.240307e-01
1.139000e-05 7.244949e-01
1.159000e-05 7.249592e-01
1.179000e-05 7.254236e-01
1.199000e-05 7.258880e-01
1.219000e-05 7.263523e-01
1.239000e-05 7.268167e-01
1.259000e-05 7.272811e-01
1.279000e-05 7.277455e-01
1.299000e-05 7.282029e-01
1.319000e-05 7.286673e-01
1.339000e-05 7.291316e-01
1.359000e-05 7.295960e-01
1.379000e-05 7.300603e-01
1.399000e-05 7.305247e-01
1.419000e-05 7.309891e-01
1.439000e-05 7.314535e-01
1.459000e-05 7.319177e-01
1.479000e-05 7.323821e-01
1.499000e-05 7.328464e-01
1.519000e-05 7.333108e-01
1.539000e-05 7.337751e-01
1.559000e-05 7.342395e-01
