Time[s] Voltage[V]
1.900000e-07 6.984823e-01
3.900000e-07 6.989588e-01
5.900000e-07 6.994232e-01
7.900000e-07 6.998876e-01
9.900000e-07 7.003519e-01
1.190000e-06 7.008163e-01
1.390000e-06 7.012806e-01
1.590000e-06 7.017450e-01
1.790000e-06 7.022092e-01
1.990000e-06 7.026736e-01
2.190000e-06 7.031380e-01
2.390000e-06 7.036024e-01
2.590000e-06 7.040667e-01
2.790000e-06 7.045311e-01
2.990000e-06 7.049955e-01
3.190000e-06 7.054599e-01
3.390000e-06 7.059236e-01
3.590000e-06 7.063880e-01
3.790000e-06 7.068524e-01
3.990000e-06 7.073168e-01
4.190000e-06 7.077811e-01
4.390000e-06 7.082455e-01
4.590000e-06 7.087099e-01
4.790000e-06 7.091742e-01
4.990000e-06 7.096384e-01
5.190000e-06 7.101028e-01
5.390000e-06 7.105672e-01
5.590000e-06 7.110316e-01
5.790000e-06 7.114959e-01
5.990000e-06 7.119603e-01
6.190000e-06 7.124247e-01
6.390000e-06 7.128891e-01
6.590000e-06 7.133515e-01
6.790000e-06 7.138158e-01
6.990000e-06 7.142802e-01
7.190000e-06 7.147446e-01
7.390000e-06 7.152089e-01
7.590000e-06 7.156733e-01
7.790000e-06 7.161376e-01
7.990000e-06 7.166020e-01
8.190000e-06 7.170662e-01
8.390000e-06 7.175306e-01
8.590000e-06 7.179950e-01
8.790000e-06 7.184594e-01
8.990000e-06 7.189237e-01
9.190000e-06 7.193881e-01
9.390000e-06 7.198525e-01
9.590000e-06 7.203170e-01
9.790000e-06 7.207807e-01
9.990000e-06 7.212450e-01
1.019000e-05 7.217094e-01
1.039000e-05 7.221738e-01
1.059000e-05 7.226381e-01
1.079000e-05 7.231025e-01
1.099000e-05 7.235669e-01
1.119000e-05 7.240314e-01
1.139000e-05 7.244955e-01
1.159000e-05 7.249599e-01
1.179000e-05 7.254243e-01
1.199000e-05 7.258887e-01
1.219000e-05 7.263530e-01
1.239000e-05 7.268174e-01
1.259000e-05 7.272818e-01
1.279000e-05 7.277462e-01
