Time[s] Voltage[V]
1.800000e-07 6.984908e-01
3.800000e-07 6.989622e-01
5.800000e-07 6.994227e-01
7.800000e-07 6.998830e-01
9.800000e-07 7.003513e-01
1.180000e-06 7.008076e-01
1.380000e-06 7.012768e-01
1.580000e-06 7.017292e-01
1.780000e-06 7.022078e-01
1.980000e-06 7.026630e-01
2.180000e-06 7.031317e-01
2.380000e-06 7.035866e-01
2.580000e-06 7.040580e-01
2.780000e-06 7.045118e-01
2.980000e-06 7.049794e-01
3.180000e-06 7.054334e-01
3.380000e-06 7.059224e-01
3.580000e-06 7.063799e-01
3.780000e-06 7.068396e-01
3.980000e-06 7.072948e-01
4.180000e-06 7.077641e-01
4.380000e-06 7.082152e-01
4.580000e-06 7.086779e-01
4.780000e-06 7.091299e-01
4.980000e-06 7.096240e-01
5.180000e-06 7.100702e-01
5.380000e-06 7.105345e-01
5.580000e-06 7.109864e-01
5.780000e-06 7.114647e-01
5.980000e-06 7.119054e-01
6.180000e-06 7.123719e-01
6.380000e-06 7.128394e-01
6.580000e-06 7.133592e-01
6.780000e-06 7.138256e-01
6.980000e-06 7.142840e-01
7.180000e-06 7.147402e-01
7.380000e-06 7.152029e-01
7.580000e-06 7.156599e-01
7.780000e-06 7.161198e-01
7.980000e-06 7.165744e-01
8.180000e-06 7.170590e-01
8.380000e-06 7.175176e-01
8.580000e-06 7.179782e-01
8.780000e-06 7.184325e-01
8.980000e-06 7.189016e-01
9.180000e-06 7.193526e-01
9.380000e-06 7.198146e-01
9.580000e-06 7.202662e-01
9.780000e-06 7.207807e-01
9.980000e-06 7.212493e-01
1.018000e-05 7.217043e-01
1.038000e-05 7.221651e-01
1.058000e-05 7.226243e-01
1.078000e-05 7.230882e-01
1.098000e-05 7.235481e-01
1.118000e-05 7.240165e-01
1.138000e-05 7.244739e-01
1.158000e-05 7.249452e-01
1.178000e-05 7.254053e-01
1.198000e-05 7.258656e-01
1.218000e-05 7.263196e-01
1.238000e-05 7.267976e-01
1.258000e-05 7.272472e-01
1.278000e-05 7.277279e-01
1.298000e-05 7.282241e-01
1.318000e-05 7.286844e-01
1.338000e-05 7.291468e-01
1.358000e-05 7.296052e-01
1.378000e-05 7.300721e-01
1.398000e-05 7.305301e-01
1.418000e-05 7.309911e-01
1.438000e-05 7.314514e-01
1.458000e-05 7.319320e-01
1.478000e-05 7.323887e-01
1.498000e-05 7.328497e-01
1.518000e-05 7.333095e-01
1.538000e-05 7.337726e-01
1.558000e-05 7.342336e-01
1.578000e-05 7.346932e-01
1.598000e-05 7.351542e-01
1.618000e-05 7.356475e-01
1.638000e-05 7.361033e-01
1.658000e-05 7.365666e-01
1.678000e-05 7.370283e-01
1.698000e-05 7.374930e-01
1.718000e-05 7.379548e-01
1.738000e-05 7.384171e-01
1.758000e-05 7.388797e-01
1.778000e-05 7.393518e-01
1.798000e-05 7.398040e-01
1.818000e-05 7.402748e-01
1.838000e-05 7.407373e-01
1.858000e-05 7.412001e-01
1.878000e-05 7.416637e-01
1.898000e-05 7.421247e-01
1.918000e-05 7.425882e-01
1.938000e-05 7.430933e-01
1.958000e-05 7.435456e-01
1.978000e-05 7.440085e-01
1.998000e-05 7.444661e-01
2.018000e-05 7.449330e-01
2.038000e-05 7.453907e-01
2.058000e-05 7.458513e-01
2.078000e-05 7.463113e-01
2.098000e-05 7.467946e-01
2.118000e-05 7.472481e-01
2.138000e-05 7.477089e-01
2.158000e-05 7.481688e-01
2.178000e-05 7.486327e-01
2.198000e-05 7.490941e-01
2.218000e-05 7.495529e-01
2.238000e-05 7.500145e-01
2.258000e-05 7.505069e-01
2.278000e-05 7.509611e-01
2.298000e-05 7.514242e-01
2.318000e-05 7.518862e-01
