Time[s] Voltage[V]
1.800000e-07 6.985918e-01
3.800000e-07 6.990521e-01
5.800000e-07 6.995158e-01
7.800000e-07 6.999788e-01
9.800000e-07 7.004420e-01
1.180000e-06 7.009052e-01
1.380000e-06 7.013704e-01
1.580000e-06 7.018319e-01
1.780000e-06 7.022948e-01
1.980000e-06 7.027642e-01
2.180000e-06 7.032244e-01
2.380000e-06 7.036938e-01
2.580000e-06 7.041549e-01
2.780000e-06 7.046218e-01
2.980000e-06 7.050873e-01
3.180000e-06 7.055499e-01
3.380000e-06 7.060119e-01
3.580000e-06 7.064778e-01
3.780000e-06 7.069439e-01
3.980000e-06 7.074059e-01
4.180000e-06 7.078739e-01
4.380000e-06 7.083333e-01
4.580000e-06 7.088000e-01
4.780000e-06 7.092612e-01
4.980000e-06 7.097309e-01
5.180000e-06 7.101902e-01
5.380000e-06 7.106558e-01
5.580000e-06 7.111208e-01
5.780000e-06 7.115882e-01
5.980000e-06 7.120545e-01
6.180000e-06 7.125135e-01
6.380000e-06 7.129844e-01
6.580000e-06 7.134457e-01
6.780000e-06 7.139107e-01
6.980000e-06 7.143737e-01
7.180000e-06 7.148390e-01
7.380000e-06 7.153020e-01
7.580000e-06 7.157670e-01
7.780000e-06 7.162325e-01
7.980000e-06 7.166957e-01
8.180000e-06 7.171577e-01
8.380000e-06 7.176240e-01
8.580000e-06 7.180874e-01
8.780000e-06 7.185543e-01
8.980000e-06 7.190170e-01
9.180000e-06 7.194809e-01
9.380000e-06 7.199468e-01
9.580000e-06 7.204100e-01
9.780000e-06 7.208751e-01
9.980000e-06 7.213387e-01
1.018000e-05 7.218039e-01
1.038000e-05 7.222684e-01
1.058000e-05 7.227332e-01
1.078000e-05 7.231973e-01
1.098000e-05 7.236612e-01
1.118000e-05 7.241262e-01
1.138000e-05 7.245904e-01
1.158000e-05 7.250550e-01
1.178000e-05 7.255192e-01
1.198000e-05 7.259839e-01
1.218000e-05 7.264478e-01
1.238000e-05 7.269128e-01
1.258000e-05 7.273757e-01
1.278000e-05 7.278413e-01
1.298000e-05 7.282965e-01
1.318000e-05 7.287627e-01
1.338000e-05 7.292257e-01
1.358000e-05 7.296914e-01
1.378000e-05 7.301563e-01
1.398000e-05 7.306207e-01
1.418000e-05 7.310849e-01
1.438000e-05 7.315490e-01
1.458000e-05 7.320125e-01
1.478000e-05 7.324764e-01
1.498000e-05 7.329415e-01
1.518000e-05 7.334043e-01
1.538000e-05 7.338679e-01
1.558000e-05 7.343329e-01
1.578000e-05 7.347957e-01
1.598000e-05 7.352608e-01
1.618000e-05 7.357236e-01
1.638000e-05 7.361865e-01
1.658000e-05 7.366532e-01
1.678000e-05 7.371148e-01
1.698000e-05 7.375835e-01
1.718000e-05 7.380465e-01
1.738000e-05 7.385121e-01
1.758000e-05 7.389757e-01
1.778000e-05 7.394403e-01
1.798000e-05 7.399051e-01
1.818000e-05 7.403634e-01
1.838000e-05 7.408342e-01
1.858000e-05 7.412968e-01
1.878000e-05 7.417632e-01
1.898000e-05 7.422277e-01
1.918000e-05 7.426924e-01
1.938000e-05 7.431515e-01
1.958000e-05 7.436194e-01
1.978000e-05 7.440827e-01
1.998000e-05 7.445448e-01
2.018000e-05 7.450094e-01
2.038000e-05 7.454698e-01
2.058000e-05 7.459378e-01
2.078000e-05 7.464012e-01
2.098000e-05 7.468640e-01
2.118000e-05 7.473288e-01
2.138000e-05 7.477902e-01
2.158000e-05 7.482493e-01
2.178000e-05 7.487266e-01
2.198000e-05 7.491897e-01
2.218000e-05 7.496554e-01
2.238000e-05 7.501190e-01
2.258000e-05 7.505783e-01
2.278000e-05 7.510440e-01
2.298000e-05 7.515087e-01
2.318000e-05 7.519730e-01
2.338000e-05 7.524271e-01
2.358000e-05 7.528936e-01
2.378000e-05 7.533557e-01
2.398000e-05 7.538187e-01
2.418000e-05 7.542902e-01
2.438000e-05 7.547606e-01
2.458000e-05 7.552248e-01
2.478000e-05 7.556889e-01
2.498000e-05 7.561440e-01
2.518000e-05 7.566067e-01
2.538000e-05 7.570731e-01
2.558000e-05 7.575361e-01
2.578000e-05 7.579844e-01
2.598000e-05 7.584386e-01
2.618000e-05 7.589047e-01
2.638000e-05 7.593701e-01
2.658000e-05 7.598371e-01
2.678000e-05 7.603053e-01
2.698000e-05 7.607711e-01
2.718000e-05 7.612310e-01
2.738000e-05 7.616951e-01
2.758000e-05 7.621638e-01
2.778000e-05 7.626261e-01
2.798000e-05 7.630915e-01
2.818000e-05 7.635550e-01
2.838000e-05 7.640193e-01
2.858000e-05 7.644832e-01
2.878000e-05 7.649476e-01
2.898000e-05 7.654097e-01
2.918000e-05 7.658741e-01
2.938000e-05 7.663363e-01
2.958000e-05 7.668031e-01
2.978000e-05 7.672639e-01
2.998000e-05 7.677310e-01
3.018000e-05 7.681948e-01
3.038000e-05 7.686585e-01
3.058000e-05 7.691214e-01
3.078000e-05 7.695876e-01
3.098000e-05 7.700474e-01
3.118000e-05 7.705161e-01
3.138000e-05 7.709804e-01
3.158000e-05 7.714333e-01
3.178000e-05 7.718994e-01
3.198000e-05 7.723604e-01
3.218000e-05 7.728323e-01
3.238000e-05 7.732879e-01
3.258000e-05 7.737539e-01
3.278000e-05 7.742187e-01
3.298000e-05 7.746799e-01
3.318000e-05 7.751485e-01
3.338000e-05 7.756098e-01
3.358000e-05 7.760783e-01
3.378000e-05 7.765427e-01
3.398000e-05 7.770080e-01
3.418000e-05 7.774735e-01
3.438000e-05 7.779358e-01
3.458000e-05 7.784013e-01
3.478000e-05 7.788675e-01
3.498000e-05 7.793314e-01
3.518000e-05 7.797972e-01
3.538000e-05 7.802559e-01
3.558000e-05 7.807258e-01
3.578000e-05 7.811817e-01
3.598000e-05 7.816460e-01
3.618000e-05 7.821166e-01
3.638000e-05 7.825758e-01
3.658000e-05 7.830461e-01
3.678000e-05 7.834984e-01
3.698000e-05 7.839715e-01
3.718000e-05 7.844258e-01
3.738000e-05 7.849014e-01
3.758000e-05 7.853628e-01
3.778000e-05 7.858241e-01
3.798000e-05 7.862927e-01
3.818000e-05 7.867454e-01
3.838000e-05 7.872215e-01
3.858000e-05 7.876701e-01
3.878000e-05 7.881326e-01
3.898000e-05 7.885987e-01
3.918000e-05 7.890630e-01
3.938000e-05 7.895299e-01
3.958000e-05 7.899956e-01
3.978000e-05 7.904611e-01
3.998000e-05 7.909225e-01
4.018000e-05 7.913913e-01
4.038000e-05 7.918559e-01
4.058000e-05 7.923201e-01
4.078000e-05 7.927838e-01
4.098000e-05 7.932470e-01
4.118000e-05 7.937100e-01
4.138000e-05 7.941723e-01
4.158000e-05 7.946345e-01
4.178000e-05 7.951033e-01
4.198000e-05 7.955600e-01
4.218000e-05 7.960235e-01
4.238000e-05 7.964904e-01
4.258000e-05 7.969594e-01
4.278000e-05 7.974193e-01
4.298000e-05 7.978894e-01
4.318000e-05 7.983535e-01
4.338000e-05 7.988126e-01
4.358000e-05 7.992821e-01
4.378000e-05 7.997424e-01
4.398000e-05 8.002072e-01
