Time[s] Voltage[V]
1.900000e-07 6.985909e-01
3.900000e-07 6.990037e-01
5.900000e-07 6.994189e-01
7.900000e-07 6.998342e-01
9.900000e-07 7.002497e-01
1.190000e-06 7.006642e-01
1.390000e-06 7.010797e-01
1.590000e-06 7.014946e-01
1.790000e-06 7.019097e-01
1.990000e-06 7.023266e-01
2.190000e-06 7.027424e-01
2.390000e-06 7.031577e-01
2.590000e-06 7.035708e-01
2.790000e-06 7.039887e-01
2.990000e-06 7.044043e-01
3.190000e-06 7.048195e-01
3.390000e-06 7.052340e-01
3.590000e-06 7.056497e-01
3.790000e-06 7.060654e-01
3.990000e-06 7.064806e-01
4.190000e-06 7.068967e-01
4.390000e-06 7.073113e-01
4.590000e-06 7.077269e-01
4.790000e-06 7.081421e-01
4.990000e-06 7.085602e-01
5.190000e-06 7.089734e-01
5.390000e-06 7.093884e-01
5.590000e-06 7.098061e-01
5.790000e-06 7.102201e-01
5.990000e-06 7.106383e-01
6.190000e-06 7.110526e-01
6.390000e-06 7.114690e-01
6.590000e-06 7.118820e-01
6.790000e-06 7.122975e-01
6.990000e-06 7.127129e-01
7.190000e-06 7.131284e-01
7.390000e-06 7.135440e-01
7.590000e-06 7.139591e-01
7.790000e-06 7.143749e-01
7.990000e-06 7.147901e-01
8.190000e-06 7.152055e-01
8.390000e-06 7.156211e-01
8.590000e-06 7.160367e-01
8.790000e-06 7.164522e-01
8.990000e-06 7.168677e-01
9.190000e-06 7.172827e-01
9.390000e-06 7.176980e-01
9.590000e-06 7.181137e-01
9.790000e-06 7.185285e-01
9.990000e-06 7.189443e-01
1.019000e-05 7.193594e-01
1.039000e-05 7.197749e-01
1.059000e-05 7.201911e-01
1.079000e-05 7.206057e-01
1.099000e-05 7.210230e-01
1.119000e-05 7.214367e-01
1.139000e-05 7.218521e-01
1.159000e-05 7.222676e-01
1.179000e-05 7.226831e-01
1.199000e-05 7.230986e-01
1.219000e-05 7.235139e-01
1.239000e-05 7.239296e-01
1.259000e-05 7.243449e-01
1.279000e-05 7.247607e-01
1.299000e-05 7.251682e-01
1.319000e-05 7.255847e-01
1.339000e-05 7.259992e-01
1.359000e-05 7.264157e-01
1.379000e-05 7.268312e-01
1.399000e-05 7.272468e-01
1.419000e-05 7.276621e-01
1.439000e-05 7.280777e-01
